exercise_name,parent,leaf_class,reason,score
py_fail_course,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course,Call,FunctionCall,Multiple function calls are used such as input(), int(), and print(), which are essential for reading input, converting types, and outputting results.,5
py_fail_course,ArithmeticExpression,BinaryOperation,Binary operations are used in the form of comparison operators (<, >) and logical OR (or) which are binary operations combining boolean expressions.,5
py_fail_course,ArithmeticExpression,UnaryOperation,No unary arithmetic operations (like negation) are used in the snippet.,0
py_fail_course,LogicalExpression,ComparisonExpression,Comparison expressions are used to compare exam_score < 55 and number_of_missing_hw > 2, which are critical to the logic determining failure.,5
py_fail_course,LogicalExpression,BooleanExpression,Boolean expressions are used to combine comparisons with 'or' and to assign the result to is_failing, as well as in the if condition.,5
py_fail_course,Literal,StringLiteral,String literals are used in the input prompts and print statements to communicate with the user.,5
py_fail_course,Literal,BooleanLiteral,Boolean literals are used explicitly in the if condition (is_failing == True).,4
py_fail_course,Literal,NoneLiteral,None literals are not used in the code snippet.,0
py_fail_course,NumericLiteral,FloatLiteral,No float literals are present; all numeric literals are integers.,0
py_fail_course,NumericLiteral,IntegerLiteral,Integer literals are used when converting input strings to integers and in the comparison constants (55, 2).,5
py_fail_course,LiteralCollection,TupleLiteral,No tuple literals are used in the snippet.,0
py_fail_course,LiteralCollection,SetLiteral,No set literals are used.,0
py_fail_course,LiteralCollection,ListLiteral,No list literals are used.,0
py_fail_course,LiteralCollection,DictLiteral,No dictionary literals are used.,0
py_fail_course,Error,TypeError,No explicit error handling or raising of TypeError is present.,0
py_fail_course,Error,OSError,No OSError handling or raising.,0
py_fail_course,Error,IndexError,No indexing or slicing that could cause IndexError.,0
py_fail_course,Error,IOError,No IOError handling or raising.,0
py_fail_course,Error,FileNotFoundError,No file operations are performed.,0
py_fail_course,Error,ValueError,No explicit error handling for ValueError, although int() conversion could raise it if input is invalid, but no try-except is used.,1
py_fail_course,Error,AssertionError,No assertions are used.,0
py_fail_course,StringMethod,split(),No use of split() method.,0
py_fail_course,StringMethod,lower(),No use of lower() method.,0
py_fail_course,StringMethod,join(),No use of join() method.,0
py_fail_course,StringMethod,format(),No use of format() method.,0
py_fail_course,StringMethod,capitalize(),No use of capitalize() method.,0
py_fail_course,StringMethod,rstrip(),No use of rstrip() method.,0
py_fail_course,StringMethod,replace(),No use of replace() method.,0
py_fail_course,DictionaryMethod,values(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,keys(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,items(),No dictionary methods used.,0
py_fail_course,DictionaryMethod,get(),No dictionary methods used.,0
py_fail_course,ListMethod,reverse(),No list methods used.,0
py_fail_course,ListMethod,insert(),No list methods used.,0
py_fail_course,ListMethod,remove(),No list methods used.,0
py_fail_course,ListMethod,append(),No list methods used.,0
py_fail_course,ListMethod,pop(),No list methods used.,0
py_fail_course,FileMethod,readline(),No file operations.,0
py_fail_course,FileMethod,close(),No file operations.,0
py_fail_course,FileMethod,read(),No file operations.,0
py_fail_course,Operator,=,=,Assignment operator is used multiple times to assign variables and boolean expressions.,5
py_fail_course,ComparisonOperator,LessOrEqual,<=,Not used in the snippet.,0
py_fail_course,ComparisonOperator,Less,<,Used in exam_score < 55 comparison.,5
py_fail_course,ComparisonOperator,Larger,>,Used in number_of_missing_hw > 2 comparison.,5
py_fail_course,ComparisonOperator,LargerOrEqual,>=,Not used.,0
py_fail_course,ComparisonOperator,==,==,Used in if condition to compare is_failing == True.,4
py_fail_course,ComparisonOperator,NotEqual,!=,Not used.,0
