exercise_name,parent,leaf_class,reason,score
py_fail_course2,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course2,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course2,Call,FunctionCall,The code uses multiple function calls such as input(), int(), and print(), which are essential for reading input, converting types, and outputting results.,5
py_fail_course2,ArithmeticExpression,BinaryOperation,Binary operations are used in comparisons (e.g., exam_score < 55) and logical operations (or), which are critical for decision making in the code.,5
py_fail_course2,ArithmeticExpression,UnaryOperation,No unary arithmetic operations (like negation) are used in the snippet.,0
py_fail_course2,LogicalExpression,ComparisonExpression,Comparison expressions are used to check if exam_score < 55 and input_num == 1, which are fundamental to the program's logic.,5
py_fail_course2,LogicalExpression,BooleanExpression,Boolean expressions are used in the if conditions and in the assignment of is_failing, combining conditions with or and boolean variables.,5
py_fail_course2,Literal,StringLiteral,String literals are used in input prompts and print statements to interact with the user.,5
py_fail_course2,Literal,BooleanLiteral,Boolean literals True and False are explicitly assigned to has_cheated and used in conditions.,5
py_fail_course2,Literal,NoneLiteral,None literal is not used anywhere in the code snippet.,0
py_fail_course2,NumericLiteral,FloatLiteral,No floating point literals are used; all numeric literals are integers.,0
py_fail_course2,NumericLiteral,IntegerLiteral,Integer literals are used in comparisons and assignments (e.g., 55, 1, 0).,5
py_fail_course2,LiteralCollection,TupleLiteral,No tuple literals are used in the code snippet.,0
py_fail_course2,LiteralCollection,SetLiteral,No set literals are present in the code snippet.,0
py_fail_course2,LiteralCollection,ListLiteral,No list literals are used in the code snippet.,0
py_fail_course2,LiteralCollection,DictLiteral,No dictionary literals are used in the code snippet.,0
py_fail_course2,Error,TypeError,No explicit error handling or raising of TypeError is present.,0
py_fail_course2,Error,OSError,No OSError or related error handling is present.,0
py_fail_course2,Error,IndexError,No indexing or slicing that could cause IndexError is present.,0
py_fail_course2,Error,IOError,No IOError handling or raising is present.,0
py_fail_course2,Error,FileNotFoundError,No file operations or related error handling is present.,0
py_fail_course2,Error,ValueError,No explicit error handling for ValueError is present, although int() conversion could raise it implicitly.,1
py_fail_course2,Error,AssertionError,No assertions or AssertionError handling is present.,0
py_fail_course2,StringMethod,split(),The split() string method is not used in the code snippet.,0
py_fail_course2,StringMethod,lower(),The lower() string method is not used in the code snippet.,0
py_fail_course3,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course3,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course3,Call,FunctionCall,The code uses multiple function calls: input() to read user input and print() to output results.,5
py_fail_course3,ArithmeticExpression,BinaryOperation,Binary operations are used in comparisons (student_score > class_average) and in the assignment of is_failing.,4
py_fail_course3,ArithmeticExpression,UnaryOperation,Unary operation 'not' is used to negate the boolean expression determining failure.,5
py_fail_course3,LogicalExpression,ComparisonExpression,Comparison expression 'student_score > class_average' is central to the logic determining if the student fails.,5
py_fail_course3,LogicalExpression,BooleanExpression,Boolean expressions are used in the assignment of is_failing and in the if condition (is_failing == True).,5
py_fail_course3,Literal,StringLiteral,String literals are used in input prompts and print statements.,5
py_fail_course3,Literal,BooleanLiteral,Boolean literals True and False are implicitly used in the if condition (is_failing == True).,4
py_fail_course3,Literal,NoneLiteral,None literal is not used anywhere in the code snippet.,0
py_fail_course3,NumericLiteral,FloatLiteral,No float literals are present; all numeric inputs are converted to integers.,0
py_fail_course3,NumericLiteral,IntegerLiteral,Integer literals are implicitly used when converting input strings to int and in comparisons.,4
py_fail_course3,LiteralCollection,TupleLiteral,No tuple literals are used in the code snippet.,0
py_fail_course3,LiteralCollection,SetLiteral,No set literals are used in the code snippet.,0
py_fail_course3,LiteralCollection,ListLiteral,No list literals are used in the code snippet.,0
py_fail_course3,LiteralCollection,DictLiteral,No dictionary literals are used in the code snippet.,0
py_fail_course3,Error,TypeError,No explicit error handling or TypeError is raised or caught in the snippet.,0
py_fail_course3,Error,OSError,No OS related errors are handled or raised.,0
py_fail_course3,Error,IndexError,No indexing or slicing that could cause IndexError is present.,0
py_fail_course3,Error,IOError,No IO errors are handled or raised.,0
py_fail_course3,Error,FileNotFoundError,No file operations are performed.,0
