exercise_name,educational_list,parser_list
ae_adl_arithmetics2,"[Addition, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, Concatenation, Division, HandlingFloat, HandlingFunction, HandlingStandardFunction, ManagingVariable, Multiplication, Printing, Python, Substraction, TransformingToFloatType]","[*, +, -, /, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, BinaryOperation, BuiltInFunction, Call, ExpressionStatement, FloatLiteral, FunctionCall, IntegerLiteral, Literal, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, print()]"
ae_adl_comparison,"[ArithmeticOperation, AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingStandardFunction, CheckingCondition, CreatingString, FindMaximum, FindMinimum, HandlingFunction, HandlingStandardFunction, HandlingString, ManagingVariable, Printing, Python]","[=, ==, AssignmentStatement, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ExpressionStatement, FunctionCall, IntegerLiteral, Larger, Less, Literal, LogicalExpression, NotEqual, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, print()]"
ae_adl_dict1,"[AccessingDictionary, AddingItemToDictionary, AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingStandardFunction, CheckingCondition, CheckingForItem, CreatingDictionary, DefiningStandardFunction, FindingLength, HandlingDictionary, HandlingFunction, HandlingStandardFunction, HandlingString, IfElseChecking, IndexingDictionary, IndexingString, ManagingVariable, Printing, Python, ReplacingDictionaryElement, UpdatingVariable]","[=, AssignmentStatement, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ConditionalStatement, DefinitionStatement, DictLiteral, ExpressionStatement, FunctionCall, FunctionDefinition, IfElseStatement, IndexingExpression, Literal, LiteralCollection, LogicalExpression, MembershipOperator, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, dict(), in, len(), print(), str()]"
ae_adl_dict2,"[AccessingDictionary, AddingItemToDictionary, Addition, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CreatingDictionary, DefiningStandardFunction, HandlingDictionary, HandlingFunction, HandlingStandardFunction, IndexingDictionary, ManagingVariable, Printing, Python, ReplacingDictionaryElement, UpdatingVariable]","[+, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, AugmentedAssignmentStatement, BinaryOperation, BuiltInFunction, Call, DefinitionStatement, DictLiteral, ExpressionStatement, FunctionCall, FunctionDefinition, IndexingExpression, IntegerLiteral, Literal, LiteralCollection, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, dict(), print(), str()]"
ae_adl_dict3,"[AccessingDictionary, AddingItemToDictionary, ArithmeticOperation, AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingStandardFunction, CheckingCondition, CheckingInForLoop, CreatingDictionary, DefiningStandardFunction, FindMaximum, ForLoopWithListIndexing, ForLoopWithUpdate, HandlingDictionary, HandlingFunction, HandlingStandardFunction, IfCheckingInForLoop, IndexingDictionary, ManagingVariable, NonNestedIteration, Printing, Python, SingleForLoopIteration, UpdatingVariable]","[=, ArithmeticExpression, AssignmentStatement, BinaryOperation, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ConditionalStatement, DefinitionStatement, DictLiteral, DictionaryMethod, ExpressionStatement, ForStatement, FunctionCall, FunctionDefinition, IfStatement, IndexingExpression, IntegerLiteral, IterationStatement, Larger, Literal, LiteralCollection, LogicalExpression, LogicalOperator, MembershipOperator, NoneLiteral, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, dict(), in, keys(), or, print()]"
ae_adl_file1,"[Addition, ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingOOPMethod, CallingStandardFunction, ClosingFile, DefiningStandardFunction, Division, ForLoopWith+=, ForLoopWithUpdate, HandlingFile, HandlingFloat, HandlingFunction, HandlingInput, HandlingInteger, HandlingObjectOrientedProgramming, HandlingStandardFunction, ManagingVariable, NonNestedIteration, OpeningFile, Printing, Python, ReadingLine, SingleForLoopIteration, TransformingToFloatType, TransformingToIntType, UpdatingVariable]","[+, /, =, ArithmeticExpression, ArtithmeticOperator, AssignmentStatement, BinaryOperation, BuiltInFunction, Call, DefinitionStatement, ExpressionStatement, FileMethod, ForStatement, FunctionCall, FunctionDefinition, IntegerLiteral, IterationStatement, Literal, MembershipOperator, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, close(), in, int(), open(), print()]"
ae_adl_file2,"[AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingOOPMethod, CallingStandardFunction, CheckingCondition, CheckingInForLoop, ClosingFile, CreatingList, CreatingString, DefiningStandardFunction, HandlingFile, HandlingFunction, HandlingList, HandlingObjectOrientedProgramming, HandlingStandardFunction, HandlingString, IfCheckingInForLoop, IndexingList, IndexingString, ManagingVariable, NonNestedIteration, OpeningFile, Printing, Python, ReadingLine, ReplacingStringContent, SingleForLoopIteration, SplittingString, TrimmingString, UpdatingVariable]","[=, ==, AssignmentStatement, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ConditionalStatement, DefinitionStatement, ExpressionStatement, FileMethod, ForStatement, FunctionCall, FunctionDefinition, IfStatement, IndexingExpression, IterationStatement, Literal, LogicalExpression, Operator, SimpleAssignmentStatement, Statement, StringLiteral, StringMethod, SubscriptExpression, close(), open(), print(), rstrip(), split()]"
ae_adl_findmax,"[ArithmeticOperation, AssigningVariable, BooleanEvaluating, CallingFunctionLibrary, CallingStandardFunction, CheckingCondition, CheckingInForLoop, CreatingList, FindMaximum, HandlingFunction, HandlingList, HandlingStandardFunction, HandlingString, IfCheckingInForLoop, IndexingList, IndexingString, ManagingVariable, NonNestedIteration, Printing, Python, SingleForLoopIteration, UpdatingVariable]","[=, ArithmeticExpression, AssignmentStatement, BinaryOperation, BooleanExpression, BuiltInFunction, Call, ComparisonExpression, ComparisonOperator, ConditionalStatement, ExpressionStatement, ForStatement, FunctionCall, IfStatement, IndexingExpression, IntegerLiteral, IterationStatement, Larger, ListLiteral, Literal, LiteralCollection, LogicalExpression, MembershipOperator, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, SubscriptExpression, in, list(), print()]"
ae_adl_for,"[ArithmeticOperation, AssigningVariable, CallingFunctionLibrary, CallingStandardFunction, HandlingFunction, HandlingStandardFunction, ManagingVariable, Multiplication, NonNestedIteration, Printing, Python, SingleForLoopIteration]","[*, ArithmeticExpression, ArtithmeticOperator, BinaryOperation, BuiltInFunction, Call, ExpressionStatement, ForStatement, FunctionCall, IntegerLiteral, IterationStatement, Literal, MembershipOperator, NumericLiteral, Statement, StringLiteral, in, print(), range()]"
ae_adl_format1,"[AssigningVariable, CallingFunctionLibrary, CallingOOPMethod, CallingStandardFunction, CreatingString, FormattingString, HandlingFunction, HandlingObjectOrientedProgramming, HandlingStandardFunction, HandlingString, ManagingVariable, NestedFunctionCall, Printing, Python]","[=, AssignmentStatement, BuiltInFunction, Call, ExpressionStatement, FunctionCall, IntegerLiteral, Literal, NumericLiteral, Operator, SimpleAssignmentStatement, Statement, StringLiteral, StringMethod, format(), print()]"
