exercise_name,parent,leaf_class,reason,score
py_fail_course,SubscriptExpression,IndexingExpression,No indexing or subscript expressions are used in the code snippet.,0
py_fail_course,SubscriptExpression,SlicingExpression,No slicing operations are present in the code snippet.,0
py_fail_course,Call,FunctionCall,Multiple function calls are used such as input(), int(), and print(), which are essential for reading input, converting types, and outputting results.,5
py_fail_course,ArithmeticExpression,BinaryOperation,Binary operations are used in the boolean expression with comparison operators and logical OR, but no arithmetic operations like +, -, *, / are present.,1
py_fail_course,ArithmeticExpression,UnaryOperation,No unary arithmetic operations (like negation) are used in the snippet.,0
py_fail_course,LogicalExpression,ComparisonExpression,Comparison expressions are used to compare exam_score < 55 and number_of_missing_hw > 2, which are critical to the logic determining failure.,5
py_fail_course,LogicalExpression,BooleanExpression,Boolean expressions combining comparisons with 'or' and the boolean variable is_failing are used to control program flow.,5
py_fail_course,Literal,StringLiteral,String literals are used in input prompts and print statements to communicate with the user.,5
py_fail_course,Literal,BooleanLiteral,Boolean literals are implicitly used in the comparison is_failing == True, though True is a boolean literal.,4
py_fail_course,Literal,NoneLiteral,None literal is not used anywhere in the code snippet.,0
py_fail_course,NumericLiteral,FloatLiteral,No float literals are present; only integers are used.,0
py_fail_course,NumericLiteral,IntegerLiteral,Integer literals are used when converting input strings to int and in comparison values like 55 and 2.,5
py_fail_course,LiteralCollection,TupleLiteral,No tuple literals are used in the snippet.,0
py_fail_course,LiteralCollection,SetLiteral,No set literals are used.,0
py_fail_course,LiteralCollection,ListLiteral,No list literals are used.,0
py_fail_course,LiteralCollection,DictLiteral,No dictionary literals are used.,0
py_fail_course,Error,TypeError,No explicit error handling or raising of TypeError is present.,0
py_fail_course,Error,OSError,No OSError handling or raising.,0
py_fail_course,Error,IndexError,No indexing or slicing that could cause IndexError.,0
py_fail_course,Error,IOError,No IOError handling or raising.,0
py_fail_course,Error,FileNotFoundError,No file operations are performed.,0
py_fail_course,Error,ValueError,No explicit error handling for ValueError, though int() conversion could raise it if input is invalid, but not handled.,1
py_fail_course,Error,AssertionError,No assertions are used.,0
py_fail_course,StringMethod,split(),No use of split() method on strings.,0
py_fail_course,StringMethod,lower(),No use of lower() method.,0
py_fail_course,StringMethod,join(),No use of join() method.,0
py_fail_course,StringMethod,format(),No use of format() method.,0
py_fail_course,StringMethod,capitalize(),No use of capitalize() method.,0
py_fail_course,StringMethod,rstrip(),No use of rstrip() method.,0
py_fail_course,StringMethod,replace(),No use of replace() method.,0
py_fail_course,DictionaryMethod,values(),No dictionaries used.,0
py_fail_course,DictionaryMethod,keys(),No dictionaries used.,0
py_fail_course,DictionaryMethod,items(),No dictionaries used.,0
py_fail_course,DictionaryMethod,get(),No dictionaries used.,0
py_fail_course,ClassMethod,__init()__,No classes or __init__ methods used.,0
py_fail_course,ListMethod,reverse(),No lists or reverse() method used.,0
py_fail_course,ListMethod,insert(),No lists or insert() method used.,0
py_fail_course,ListMethod,remove(),No lists or remove() method used.,0
py_fail_course,ListMethod,append(),No lists or append() method used.,0
py_fail_course,ListMethod,pop(),No lists or pop() method used.,0
py_fail_course,FileMethod,readline(),No file operations.,0
py_fail_course,FileMethod,close(),No file operations.,0
py_fail_course,FileMethod,read(),No file operations.,0
py_fail_course,Operator,=,=,Assignment operator is used multiple times to assign variables like exam_score, number_of_missing_hw, and is_failing.,5
py_fail_course,ComparisonOperator,Less,<,Used in exam_score < 55 comparison.,5
py_fail_course,ComparisonOperator,Larger,>,Used in number_of_missing_hw > 2 comparison.,5
py_fail_course,ComparisonOperator,==,==,Used in if condition is_failing == True to check boolean equality.,4
py_fail_course,ComparisonOperator,NotEqual,!=,Not used in the snippet.,0
