exercise_name,parent,leaf_class
py_fail_course3,ClassMethod,__init()__
py_phone_age,ClassMethod,__init()__
py_rent_car2,ClassMethod,__init()__
py_check_age,SubscriptExpression,SlicingExpression
py_check_age,Call,FunctionCall
py_check_age,ArithmeticExpression,BinaryOperation
py_check_age,ArithmeticExpression,UnaryOperation
py_check_age,LogicalExpression,BooleanExpression
py_check_age,Literal,StringLiteral
py_check_age,Literal,BooleanLiteral
py_check_age,Literal,NoneLiteral
py_check_age,NumericLiteral,FloatLiteral
py_check_age,NumericLiteral,IntegerLiteral
py_check_age,LiteralCollection,TupleLiteral
py_check_age,LiteralCollection,SetLiteral
py_check_age,LiteralCollection,ListLiteral
py_check_age,LiteralCollection,DictLiteral
py_check_age,Error,TypeError
py_check_age,Error,OSError
py_check_age,Error,IOError
py_check_age,Error,FileNotFoundError
py_check_age,Error,AssertionError
py_check_age,StringMethod,lower()
py_check_age,StringMethod,join()
py_check_age,StringMethod,format()
py_check_age,StringMethod,capitalize()
py_check_age,StringMethod,rstrip()
py_check_age,StringMethod,replace()
py_check_age,DictionaryMethod,values()
py_check_age,DictionaryMethod,keys()
py_check_age,DictionaryMethod,items()
py_check_age,DictionaryMethod,get()
py_check_age,ClassMethod,__init()__
py_check_age,ListMethod,reverse()
py_check_age,ListMethod,insert()
py_check_age,ListMethod,remove()
py_check_age,ListMethod,append()
py_check_age,ListMethod,pop()
py_check_age,FileMethod,readline()
py_check_age,FileMethod,close()
py_check_age,FileMethod,read()
py_check_age,Operator,=
py_check_age,ComparisonOperator,LessOrEqual
py_check_age,ComparisonOperator,Less
py_check_age,ComparisonOperator,Larger
py_check_age,ComparisonOperator,LargerOrEqual
py_check_age,ComparisonOperator,==
py_check_age,ComparisonOperator,NotEqual
py_check_age,MembershipOperator,in
py_check_age,LogicalOperator,or
py_check_age,LogicalOperator,not
py_check_age,ArtithmeticOperator,//
py_check_age,ArtithmeticOperator,-
py_check_age,ArtithmeticOperator,+
py_check_age,ArtithmeticOperator,/
py_check_age,ArtithmeticOperator,**
py_check_age,ArtithmeticOperator,Modulus
py_check_age,ArtithmeticOperator,*
py_check_age,Statement,ExpressionStatement
py_check_age,ConditionalStatement,IfElifElseStatement
py_check_age,ConditionalStatement,IfStatement
py_check_age,ConditionalStatement,IfElifStatement
py_check_age,ImportStatement,Import
py_check_age,ImportStatement,ImportFrom
py_check_age,JumpStatement,PassStatement
py_check_age,JumpStatement,BreakStatement
py_check_age,JumpStatement,ContinueStatement
py_check_age,JumpStatement,ReturnStatement
py_check_age,IterationStatement,ForStatement
py_check_age,IterationStatement,WhileStatement
py_check_age,AssignmentStatement,AugmentedAssignmentStatement
py_check_age,DefinitionStatement,FunctionDefinition
py_check_age,DefinitionStatement,ClassDefinition
py_check_age,BuiltInFunction,dict()
py_check_age,BuiltInFunction,str()
py_check_age,BuiltInFunction,next()
py_check_age,BuiltInFunction,max()
py_check_age,BuiltInFunction,float()
py_check_age,BuiltInFunction,set()
py_check_age,BuiltInFunction,open()
py_check_age,BuiltInFunction,range()
py_check_age,BuiltInFunction,tuple()
py_check_age,BuiltInFunction,abs()
py_check_age,BuiltInFunction,round()
py_check_age,BuiltInFunction,len()
py_check_age,BuiltInFunction,min()
py_check_age,BuiltInFunction,list()
py_check_age2,ClassMethod,__init()__
py_three_boolean2,BuiltInFunction,list()
py_boolean_dry_hot3,ClassMethod,__init()__
py_boolean_dry_hot3,BuiltInFunction,list()
py_str_repeat_chars,ArithmeticExpression,UnaryOperation
py_str_repeat_chars,Literal,BooleanLiteral
py_str_repeat_chars,Literal,NoneLiteral
py_str_repeat_chars,NumericLiteral,FloatLiteral
py_str_repeat_chars,NumericLiteral,IntegerLiteral
py_str_repeat_chars,ClassMethod,__init()__
py_str_repeat_chars,MembershipOperator,in
py_str_repeat_chars,DefinitionStatement,ClassDefinition
py_str_repeat2,SubscriptExpression,SlicingExpression
py_str_repeat2,ArithmeticExpression,UnaryOperation
py_str_repeat2,LogicalExpression,ComparisonExpression
py_str_repeat2,LogicalExpression,BooleanExpression
py_str_repeat2,Literal,BooleanLiteral
py_str_repeat2,Literal,NoneLiteral
py_str_repeat2,NumericLiteral,FloatLiteral
py_str_repeat2,NumericLiteral,IntegerLiteral
py_str_repeat2,LiteralCollection,TupleLiteral
py_str_repeat2,LiteralCollection,SetLiteral
py_str_repeat2,LiteralCollection,ListLiteral
py_str_repeat2,LiteralCollection,DictLiteral
py_str_repeat2,Error,TypeError
py_str_repeat2,Error,OSError
py_str_repeat2,Error,IndexError
py_str_repeat2,Error,IOError
py_str_repeat2,Error,FileNotFoundError
py_str_repeat2,Error,ValueError
py_str_repeat2,Error,AssertionError
py_str_repeat2,StringMethod,split()
py_str_repeat2,StringMethod,lower()
py_str_repeat2,StringMethod,join()
py_str_repeat2,StringMethod,format()
py_str_repeat2,StringMethod,capitalize()
py_str_repeat2,StringMethod,rstrip()
py_str_repeat2,StringMethod,replace()
py_str_repeat2,DictionaryMethod,values()
py_str_repeat2,DictionaryMethod,keys()
py_str_repeat2,DictionaryMethod,items()
py_str_repeat2,DictionaryMethod,get()
py_str_repeat2,ClassMethod,__init()__
py_str_repeat2,ListMethod,reverse()
py_str_repeat2,ListMethod,insert()
py_str_repeat2,ListMethod,remove()
py_str_repeat2,ListMethod,append()
py_str_repeat2,ListMethod,pop()
py_str_repeat2,FileMethod,readline()
py_str_repeat2,FileMethod,close()
py_str_repeat2,FileMethod,read()
py_str_repeat2,Operator,=
py_str_repeat2,ComparisonOperator,LessOrEqual
py_str_repeat2,ComparisonOperator,Less
py_str_repeat2,ComparisonOperator,Larger
py_str_repeat2,ComparisonOperator,LargerOrEqual
py_str_repeat2,ComparisonOperator,==
py_str_repeat2,ComparisonOperator,NotEqual
py_str_repeat2,MembershipOperator,in
py_str_repeat2,LogicalOperator,and
py_str_repeat2,LogicalOperator,or
py_str_repeat2,LogicalOperator,not
py_str_repeat2,ArtithmeticOperator,//
py_str_repeat2,ArtithmeticOperator,-
py_str_repeat2,ArtithmeticOperator,+
py_str_repeat2,ArtithmeticOperator,/
py_str_repeat2,ArtithmeticOperator,**
py_str_repeat2,ArtithmeticOperator,Modulus
py_str_repeat2,ArtithmeticOperator,*
py_str_repeat2,Statement,ExpressionStatement
py_str_repeat2,ConditionalStatement,IfElifElseStatement
py_str_repeat2,ConditionalStatement,IfStatement
py_str_repeat2,ConditionalStatement,IfElseStatement
py_str_repeat2,ConditionalStatement,IfElifStatement
py_str_repeat2,ImportStatement,Import
py_str_repeat2,ImportStatement,ImportFrom
py_str_repeat2,JumpStatement,PassStatement
py_str_repeat2,JumpStatement,BreakStatement
py_str_repeat2,JumpStatement,ContinueStatement
py_str_repeat2,JumpStatement,ReturnStatement
py_str_repeat2,IterationStatement,WhileStatement
py_str_repeat2,ExceptionHandlingStatement,TryStatement
py_str_repeat2,ExceptionHandlingStatement,RaiseStatement
py_str_repeat2,ExceptionHandlingStatement,AssertStatement
py_str_repeat2,AssignmentStatement,AugmentedAssignmentStatement
py_str_repeat2,DefinitionStatement,ClassDefinition
py_str_repeat2,BuiltInFunction,dict()
py_str_repeat2,BuiltInFunction,str()
py_str_repeat2,BuiltInFunction,next()
py_str_repeat2,BuiltInFunction,input()
py_str_repeat2,BuiltInFunction,int()
py_str_repeat2,BuiltInFunction,max()
py_str_repeat2,BuiltInFunction,float()
py_str_repeat2,BuiltInFunction,set()
py_str_repeat2,BuiltInFunction,open()
py_str_repeat2,BuiltInFunction,range()
py_str_repeat2,BuiltInFunction,tuple()
py_str_repeat2,BuiltInFunction,abs()
py_str_repeat2,BuiltInFunction,round()
py_str_repeat2,BuiltInFunction,min()
py_str_repeat2,BuiltInFunction,list()
py_file_input_stat,Call,FunctionCall
py_file_input_stat,NumericLiteral,FloatLiteral
py_file_input_stat,NumericLiteral,IntegerLiteral
py_file_input_stat,Error,TypeError
py_file_input_stat,Error,OSError
py_file_input_stat,Error,IndexError
py_file_input_stat,Error,ValueError
py_file_input_stat,Error,AssertionError
py_file_input_stat,StringMethod,lower()
py_file_input_stat,StringMethod,join()
py_file_input_stat,StringMethod,format()
py_file_input_stat,StringMethod,capitalize()
py_file_input_stat,StringMethod,rstrip()
py_file_input_stat,StringMethod,replace()
py_file_input_stat,DictionaryMethod,values()
py_file_input_stat,DictionaryMethod,keys()
py_file_input_stat,DictionaryMethod,items()
py_file_input_stat,DictionaryMethod,get()
py_file_input_stat,ClassMethod,__init()__
py_file_input_stat,ListMethod,reverse()
py_file_input_stat,ListMethod,insert()
py_file_input_stat,ListMethod,remove()
py_file_input_stat,ListMethod,append()
py_file_input_stat,ListMethod,pop()
py_file_input_stat,Operator,=
py_file_input_stat,MembershipOperator,in
py_file_input_stat,Statement,ExpressionStatement
py_file_input_stat,IterationStatement,WhileStatement
py_file_input_stat,AssignmentStatement,AugmentedAssignmentStatement
py_file_input_stat,DefinitionStatement,ClassDefinition
py_file_input_stat,BuiltInFunction,dict()
py_file_input_stat,BuiltInFunction,str()
py_file_input_stat,BuiltInFunction,next()
py_file_input_stat,BuiltInFunction,input()
py_file_input_stat,BuiltInFunction,int()
py_file_input_stat,BuiltInFunction,max()
py_file_input_stat,BuiltInFunction,float()
py_file_input_stat,BuiltInFunction,set()
py_file_input_stat,BuiltInFunction,open()
py_file_input_stat,BuiltInFunction,range()
py_file_input_stat,BuiltInFunction,tuple()
py_file_input_stat,BuiltInFunction,abs()
py_file_input_stat,BuiltInFunction,round()
py_file_input_stat,BuiltInFunction,min()
py_file_input_stat,BuiltInFunction,list()
py_input_stat2,ArtithmeticOperator,/
py_student_score,SubscriptExpression,SlicingExpression
py_student_score,Call,FunctionCall
py_student_score,ArithmeticExpression,BinaryOperation
py_student_score,ArithmeticExpression,UnaryOperation
py_student_score,LogicalExpression,ComparisonExpression
py_student_score,LogicalExpression,BooleanExpression
py_student_score,Literal,BooleanLiteral
py_student_score,Literal,NoneLiteral
py_student_score,NumericLiteral,FloatLiteral
py_student_score,NumericLiteral,IntegerLiteral
py_student_score,LiteralCollection,TupleLiteral
py_student_score,LiteralCollection,SetLiteral
py_student_score,Error,TypeError
py_student_score,Error,OSError
py_student_score,Error,IndexError
py_student_score,Error,IOError
py_student_score,Error,FileNotFoundError
py_student_score,Error,ValueError
py_student_score,Error,AssertionError
py_student_score,StringMethod,split()
py_student_score,StringMethod,lower()
py_student_score,StringMethod,join()
py_student_score,StringMethod,format()
py_student_score,StringMethod,capitalize()
py_student_score,StringMethod,rstrip()
py_student_score,StringMethod,replace()
py_student_score,DictionaryMethod,values()
